LINESTRING (-77.0442698 -11.8944294, -77.0440767 -11.8940829, -77.0436476 -11.8933375, -77.0434035 -11.8929124, -77.0431648 -11.8924767, -77.0426391 -11.8915318, -77.0423494 -11.8910489),Línea 2,
LINESTRING (-77.0446166 -11.8922215, -77.0441767 -11.8924577, -77.0434223 -11.8928966),Línea 3,
LINESTRING (-77.0453354 -11.89398, -77.0450136 -11.8935443, -77.0444932 -11.8928514, -77.0441767 -11.8924577),Línea 4,
LINESTRING (-77.0436476 -11.8933375, -77.0444932 -11.8928514),Línea 5,
LINESTRING (-77.0450136 -11.8935443, -77.0440767 -11.8940829),Línea 6,
LINESTRING (-77.0442698 -11.8944294, -77.044282 -11.8945102),Línea 7,
LINESTRING (-77.0438367 -11.8947412, -77.044282 -11.8945102, -77.0453354 -11.89398, -77.0461702 -11.8934866),Línea 8,
LINESTRING (-77.0457561 -11.8937313, -77.0446166 -11.8922215, -77.0442574 -11.8918383),Línea 9,
LINESTRING (-77.0431648 -11.8924767, -77.0442574 -11.8918383, -77.0447187 -11.8915864),Línea 10,
LINESTRING (-77.0461702 -11.8934866, -77.0455035 -11.8925102, -77.0447187 -11.8915864),Línea 11,
LINESTRING (-77.0438367 -11.8947412, -77.0418756 -11.8912189),Línea 12,
LINESTRING (-77.0447187 -11.8915864, -77.0443168 -11.8912079, -77.0436574 -11.8909134, -77.0432875 -11.8908738, -77.0429498 -11.8908867, -77.0423494 -11.8910489),Línea 13,
LINESTRING (-77.0423494 -11.8910489, -77.0418756 -11.8912189, -77.0403896 -11.8916861, -77.0391075 -11.8926257, -77.0384645 -11.8931526, -77.0378791 -11.8936703),Línea 14,
LINESTRING (-77.0421349 -11.8916507, -77.0406221 -11.8921441, -77.0401822 -11.8924039, -77.0398604 -11.8926848, -77.0394634 -11.8930155, -77.0389806 -11.8934459, -77.0385944 -11.8937714),Línea 15,
LINESTRING (-77.0411317 -11.8919709, -77.0414697 -11.8926428, -77.0417326 -11.893047),Línea 16,
LINESTRING (-77.0426284 -11.8925588, -77.0417326 -11.893047, -77.0413571 -11.8934407, -77.0410245 -11.8938344),Línea 17,
LINESTRING (-77.0414697 -11.8926428, -77.0410753 -11.8929506, -77.0408124 -11.8932813, -77.0405334 -11.8936802),Línea 18,
LINESTRING (-77.0406221 -11.8921441, -77.0410753 -11.8929506),Línea 19,
LINESTRING (-77.0413571 -11.8934407, -77.042347 -11.8939196, -77.0427332 -11.8942188),Línea 20,
LINESTRING (-77.0433716 -11.8938828, -77.0427332 -11.8942188),Línea 21,
LINESTRING (-77.0431087 -11.8934262, -77.0426313 -11.8936781, -77.042347 -11.8939196),Línea 22,
LINESTRING (-77.0421666 -11.89281, -77.0426313 -11.8936781),Línea 23,
LINESTRING (-77.0434223 -11.8928966, -77.0429376 -11.8931251),Línea 24,
LINESTRING (-77.0428986 -11.8919843, -77.0424419 -11.8922382),Línea 25,
LINESTRING (-77.0438367 -11.8947412, -77.0440908 -11.8952371),Línea 26,
LINESTRING (-77.0440908 -11.8952371, -77.0445417 -11.8949899, -77.0460008 -11.894192),Línea 27,
LINESTRING (-77.0445417 -11.8949899, -77.0447831 -11.8954099, -77.0455126 -11.8966802),Línea 28,
LINESTRING (-77.0461702 -11.8934866, -77.0479375 -11.8965021),Línea 31,
LINESTRING (-77.0460008 -11.894192, -77.0462706 -11.8946307, -77.0472362 -11.8963315, -77.0474722 -11.8967672),Línea 32,
LINESTRING (-77.047206 -11.8952541, -77.0467601 -11.8954929),Línea 33,
LINESTRING (-77.0465567 -11.8961325, -77.0455126 -11.8966802),Línea 36,
LINESTRING (-77.0462706 -11.8946307, -77.0447831 -11.8954099),Línea 37,
LINESTRING (-77.0458343 -11.8948631, -77.0467981 -11.8965524),Línea 38,
LINESTRING (-77.0472362 -11.8963315, -77.0467981 -11.8965524),Línea 39,
LINESTRING (-77.0389806 -11.8934459, -77.0395337 -11.893941, -77.0398598 -11.8941242, -77.0401836 -11.8942694),Línea 40,
LINESTRING (-77.0385944 -11.8937714, -77.0388763 -11.8940911, -77.039244 -11.8943268, -77.0399687 -11.8947037),Línea 41,
LINESTRING (-77.040194 -11.8942471, -77.0399687 -11.8947037),Línea 42,
LINESTRING (-77.0399687 -11.8947037, -77.0404139 -11.8949347),Línea 43,
LINESTRING (-77.040194 -11.8942471, -77.0404568 -11.8938271),Línea 44,
LINESTRING (-77.0404139 -11.8949347, -77.0406929 -11.8944727, -77.0409289 -11.8939793),Línea 45,
LINESTRING (-77.0409289 -11.8939793, -77.0404568 -11.8938271, -77.0398721 -11.8935502, -77.0393645 -11.8931021),Línea 46,
LINESTRING (-77.0410245 -11.8938344, -77.0405334 -11.8936802, -77.0402418 -11.8935823, -77.0399609 -11.8934528, -77.0396934 -11.8932525, -77.0394634 -11.8930155),Línea 47,
LINESTRING (-77.0398604 -11.8926848, -77.0403015 -11.8930513, -77.0408124 -11.8932813),Línea 48,
LINESTRING (-77.0393645 -11.8931021, -77.0390078 -11.8927101),Línea 49,
LINESTRING (-77.0394634 -11.8930155, -77.0391075 -11.8926257),Línea 50,
LINESTRING (-77.0385944 -11.8937714, -77.0382303 -11.8933583),Línea 51,
LINESTRING (-77.039552 -11.8944867, -77.0392998 -11.8949172, -77.0390745 -11.8953686, -77.0388653 -11.8958148, -77.0383852 -11.8961691, -77.0378085 -11.8964184),Línea 52,
LINESTRING (-77.0399687 -11.8947037, -77.0397558 -11.8951586, -77.0395251 -11.8955786),Línea 54,
LINESTRING (-77.0395251 -11.8955786, -77.0390745 -11.8953686),Línea 55,
LINESTRING (-77.0392998 -11.8949172, -77.0388492 -11.8947125, -77.0384925 -11.894429, -77.0382001 -11.8940878, -77.0378791 -11.8936703),Línea 56,
LINESTRING (-77.0378791 -11.8936703, -77.0372928 -11.8942287, -77.0371552 -11.8945814, -77.0371679 -11.8949131, -77.0378085 -11.8964184),Línea 57,
LINESTRING (-77.0479375 -11.8965021, -77.0474722 -11.8967672),Línea 58,
LINESTRING (-77.0442574 -11.8918383, -77.043933 -11.891614, -77.0435174 -11.8914317, -77.0432626 -11.8913956, -77.0430347 -11.8914121, -77.0428255 -11.8914495, -77.0426271 -11.8915027),Línea 59,
LINESTRING (-77.0403896 -11.8916861, -77.0406221 -11.8921441),Línea 60,
LINESTRING (-77.0388492 -11.8947125, -77.0383333 -11.8956503, -77.0380704 -11.8957658, -77.0377861 -11.8949548, -77.0377179 -11.8946869, -77.0378107 -11.8944767, -77.0382001 -11.8940878),Línea 61,
LINESTRING (-77.0377861 -11.8949548, -77.037278 -11.8951546),Línea 62,
LINESTRING (-77.0384098 -11.892804, -77.0380611 -11.8924261, -77.037707 -11.8920271, -77.037302 -11.8914497, -77.0369828 -11.8908093, -77.0367361 -11.8903578, -77.0365 -11.8899012, -77.0356471 -11.8882739),Línea 58,
LINESTRING (-77.037707 -11.8920271, -77.0369462 -11.8926653, -77.0365385 -11.892975, -77.0360718 -11.8932585),Línea 59,
LINESTRING (-77.0380611 -11.8924261, -77.0370343 -11.8932438, -77.0368714 -11.8932554, -77.036714 -11.8932144, -77.0365968 -11.8931288, -77.0365385 -11.892975),Línea 60,
LINESTRING (-77.0369828 -11.8908093, -77.0360128 -11.8913136, -77.0355434 -11.8915419),Línea 61,
LINESTRING (-77.0360128 -11.8913136, -77.0369462 -11.8926653),Línea 62,
LINESTRING (-77.0355434 -11.8915419, -77.0365385 -11.892975),Línea 63,
LINESTRING (-77.0367361 -11.8903578, -77.0352961 -11.8910827),Línea 64,
LINESTRING (-77.0365 -11.8899012, -77.0350708 -11.8906418, -77.0345451 -11.8909069, -77.0344351 -11.8909699),Línea 65,
LINESTRING (-77.0355434 -11.8915419, -77.0352961 -11.8910827, -77.0350708 -11.8906418, -77.034808 -11.8901904, -77.0345692 -11.8897809, -77.0341589 -11.8890303),Línea 66,
LINESTRING (-77.0360498 -11.8901352, -77.0357977 -11.8896733, -77.0355804 -11.8892612, -77.0351969 -11.8885001),Línea 67,
LINESTRING (-77.0355804 -11.8892612, -77.0345692 -11.8897809),Línea 68,
LINESTRING (-77.0357977 -11.8896733, -77.034808 -11.8901904),Línea 69,
LINESTRING (-77.0384098 -11.892804, -77.0377019 -11.8933874, -77.0373158 -11.8936949, -77.0369511 -11.8937924, -77.0366911 -11.8937639, -77.0364417 -11.8936514, -77.03623 -11.8934549, -77.0360718 -11.8932585, -77.0350752 -11.8917597, -77.0350309 -11.8917125, -77.0345451 -11.8909069, -77.0341431 -11.8901561, -77.0340787 -11.8900353, -77.0338105 -11.8895892, -77.033671 -11.8893792),Línea 70,
LINESTRING (-77.0384098 -11.892804, -77.0387721 -11.8924467, -77.0389009 -11.8923627, -77.0402795 -11.8912236, -77.0416853 -11.8900345, -77.0428416 -11.8891141),Línea 71,
LINESTRING (-77.0402795 -11.8912236, -77.0399504 -11.8908366, -77.0396312 -11.8904875, -77.0389365 -11.8892067, -77.03873 -11.8887789),Línea 72,
LINESTRING (-77.0409831 -11.8899791, -77.0399504 -11.8908366),Línea 73,
LINESTRING (-77.0406666 -11.8895985, -77.040004 -11.890168, -77.0396312 -11.8904875),Línea 74,
LINESTRING (-77.0399665 -11.8886772, -77.0393684 -11.8889817, -77.0389365 -11.8892067),Línea 75,
LINESTRING (-77.0393684 -11.8889817, -77.040004 -11.890168),Línea 76,
LINESTRING (-77.0413156 -11.8903518, -77.0409831 -11.8899791, -77.0406666 -11.8895985, -77.0402897 -11.8891641, -77.040112 -11.8889233, -77.0399665 -11.8886772),Línea 77,
LINESTRING (-77.0389365 -11.8892067, -77.0385008 -11.8894189, -77.0377632 -11.889789, -77.0373153 -11.8900121),Línea 78,
LINESTRING (-77.0396312 -11.8904875, -77.0392454 -11.8908094, -77.0386419 -11.8913133, -77.0382611 -11.8916309),Línea 79,
LINESTRING (-77.0392454 -11.8908094, -77.0385008 -11.8894189),Línea 80,
LINESTRING (-77.0386419 -11.8913133, -77.0383726 -11.8909624, -77.0381731 -11.8905695, -77.0377632 -11.889789),Línea 81,
LINESTRING (-77.0416853 -11.8900345, -77.0413844 -11.8896701, -77.0410679 -11.8892973, -77.0407246 -11.8889194, -77.0404027 -11.888468),Línea 82,
LINESTRING (-77.0411901 -11.8879353, -77.0404027 -11.888468, -77.0399665 -11.8886772),Línea 83,
LINESTRING (-77.0426355 -11.8886531, -77.04201 -11.8891248, -77.0413844 -11.8896701),Línea 84,
LINESTRING (-77.0425121 -11.8882279, -77.0420508 -11.8884588, -77.0418094 -11.8886321, -77.0410679 -11.8892973),Línea 85,
LINESTRING (-77.0418094 -11.8886321, -77.0411901 -11.8879353, -77.0408331 -11.8875402, -77.0401625 -11.8867843, -77.0399935 -11.8865796, -77.039909 -11.8864798, -77.0397924 -11.8864116, -77.0395671 -11.8861386),Línea 86,
LINESTRING (-77.0415008 -11.8882882, -77.0407246 -11.8889194),Línea 87,
LINESTRING (-77.0420508 -11.8884588, -77.0419085 -11.887884, -77.0408088 -11.8866451, -77.0400148 -11.8857633),Línea 88,
LINESTRING (-77.0425121 -11.8882279, -77.0423413 -11.8876162, -77.0422952 -11.8875765, -77.0422115 -11.8875512, -77.0420601 -11.8875387, -77.0419303 -11.8874527, -77.0418165 -11.8873247, -77.0410511 -11.8864425, -77.040284 -11.8855816),Línea 89,
LINESTRING (-77.0422115 -11.8875512, -77.0417394 -11.887685),Línea 90,
LINESTRING (-77.0410511 -11.8864425, -77.0408088 -11.8866451, -77.0403578 -11.8870109),Línea 91,
LINESTRING (-77.0428416 -11.8891141, -77.042701 -11.8888967, -77.0426355 -11.8886531, -77.0425121 -11.8882279),Línea 92,
LINESTRING (-77.0408331 -11.8875402, -77.0404069 -11.887836, -77.0399294 -11.8881299),Línea 93,
LINESTRING (-77.0398721 -11.8881603, -77.03873 -11.8887789, -77.0375544 -11.8893452, -77.037085 -11.8895971, -77.036967 -11.8896601, -77.0365 -11.8899012),Línea 94,
LINESTRING (-77.0404069 -11.887836, -77.0399498 -11.8868716, -77.039855 -11.8866469, -77.0397924 -11.8864116),Línea 95,
LINESTRING (-77.0401482 -11.8867617, -77.0399498 -11.8868716),Línea 96,
LINESTRING (-77.0399294 -11.8881299, -77.039695 -11.887641, -77.0394361 -11.8870675, -77.0392879 -11.8867702, -77.0390968 -11.8865255),Línea 97,
LINESTRING (-77.039695 -11.887641, -77.0392927 -11.8878402, -77.0384827 -11.8882706, -77.0380403 -11.8885231, -77.0373295 -11.8888853),Línea 98,
LINESTRING (-77.0392927 -11.8878402, -77.0390608 -11.8873312, -77.0389234 -11.8870794, -77.0387377 -11.8868538),Línea 99,
LINESTRING (-77.0384827 -11.8882706, -77.0382535 -11.8878431, -77.0379813 -11.887426, -77.0376702 -11.8870428),Línea 100,
LINESTRING (-77.0395671 -11.8861386, -77.0390968 -11.8865255, -77.0387377 -11.8868538, -77.0379813 -11.887426),Línea 101,
LINESTRING (-77.040284 -11.8855816, -77.0402181 -11.8855876, -77.0401387 -11.8856357, -77.0400148 -11.8857633, -77.0395671 -11.8861386),Línea 102,
LINESTRING (-77.0375544 -11.8893452, -77.0373295 -11.8888853, -77.0366984 -11.8877299),Línea 103,
LINESTRING (-77.0380403 -11.8885231, -77.0376885 -11.8879336, -77.0374697 -11.8876573, -77.0372455 -11.8873809),Línea 104,
LINESTRING (-77.0387721 -11.8924467, -77.038231 -11.8918249, -77.0377489 -11.8911295, -77.036967 -11.8896601, -77.0361087 -11.8880299),Línea 105,
LINESTRING (-77.037237 -11.8913126, -77.0377279 -11.891058),Línea 106,
LINESTRING (-77.037085 -11.8895971, -77.0373153 -11.8900121, -77.0377319 -11.8908556, -77.0379482 -11.8912643, -77.0382611 -11.8916309, -77.0385781 -11.891986),Línea 107,
LINESTRING (-77.0385781 -11.891986, -77.0389009 -11.8923627),Línea 108,
LINESTRING (-77.0399504 -11.8908366, -77.0385781 -11.891986),Línea 109,
LINESTRING (-77.0390968 -11.8865255, -77.0387893 -11.8861494),Línea 110,
LINESTRING (-77.0387893 -11.8861494, -77.0376702 -11.8870428, -77.0372455 -11.8873809, -77.0366984 -11.8877299, -77.0362465 -11.887971, -77.0361087 -11.8880299, -77.0356471 -11.8882739, -77.0351969 -11.8885001, -77.0349644 -11.8886324, -77.0345728 -11.8888214, -77.0341589 -11.8890303),Línea 111,
LINESTRING (-77.0400148 -11.8857633, -77.0397119 -11.8853988),Línea 112,
LINESTRING (-77.0397119 -11.8853988, -77.0387893 -11.8861494),Línea 113,
LINESTRING (-77.0341589 -11.8890303, -77.0338881 -11.8891732, -77.0337152 -11.8892762, -77.033671 -11.8893792),Línea 114,
LINESTRING (-77.0345692 -11.8897809, -77.0340787 -11.8900353),Línea 115,
LINESTRING (-77.037085 -11.8895971, -77.0362465 -11.887971),Línea 116,
LINESTRING (-77.0334011 -11.8970442, -77.0330471 -11.8966873, -77.0326233 -11.8959524, -77.0321566 -11.8950968, -77.031942 -11.8946768, -77.0318877 -11.8945973, -77.0316746 -11.8941608),Línea 117,
LINESTRING (-77.0326777 -11.8969743, -77.0323773 -11.8965754, -77.0317336 -11.8953681),Línea 118,
